"seqno","page","item","type","battle_name",,,,,,,"duration","winner_a","winner_b","loser_a","loser_b","winner_personnel","winner_main_ships","winner_other_ships","winner_cannon","loser_personnel","loser_main_ships","loser_other_ships","loser_cannon","winner_dead","winner_wounded","winner_bloody","winner_miapow","winner_losses","winner_main_ship_losses","winner_other_ship_loses","winner_cannon_losses","loser_dead","loser_wounded","loser_bloody","loser_miapow","loser_losses","loser_main_ship_losses","loser_other_ship_loses","loser_cannon_losses","winne_loss_fraction","loser_loss_fraction","winner_tbc_fraction","loser_tbc_fraction"
1,63,1,"Seeschlacht","Guetaria (Gatari)",1638,8,22,1638,8,22,1,"France",,"Spain",,5000,18,0,600,7000,14,14,1000,,,,,500,0,0,,,,,,4000,13,0,500,,,0.1,0.5714285714
2,63,2,"Seeschlacht","Genua",1638,9,1,1638,9,1,1,"France",,"Spain",,,14,0,,,14,0,,,,,,,3,0,,,,,,,6,0,,,,,
3,65,2,"Seeschlacht","Dunkerque (Dunkirchen)",1639,10,21,1639,10,21,1,"Holland",,"Spain",,6000,28,0,1200,20000,70,20,3600,,,1000,,,0,0,0,,,5000,5000,10000,60,6,2600,0.1666666667,0.25,,0.5
4,66,3,"Seeschlacht","Cadix",1640,7,23,1640,7,23,1,"France",,"Spain",,6000,21,9,1000,10000,36,0,1600,,,,,500,,,,,,,,1500,5,0,200,,,0.0833333333,0.15
5,68,3,"Seeschlacht","Barcelona",1642,6,30,1642,7,1,2,"France",,"Spain",,12000,29,12,1200,15000,44,10,2000,,,800,,,1,0,50,,,1200,400,1600,3,0,120,0.0666666667,0.08,,0.1066666667
6,70,2,"Seeschlacht","Cartagena",1643,9,3,1643,9,3,1,"France",,"Spain",,7000,20,14,1000,5000,25,0,900,,,600,,,0,0,0,,,1400,600,2000,4,0,180,0.0857142857,0.28,,0.4
7,71,2,"Seeschlacht","Kolberger Heide",1644,7,1,1644,7,1,1,"Denmark",,"Sweden",,11000,44,0,1000,10000,42,0,1200,,,400,,,0,0,0,,,600,,,0,0,0,0.0363636364,0.06,,
8,72,2,"Seeschlacht","Fehmarn (Femern)",1644,10,24,1644,10,24,1,"Sweden","Holland","Denmark",,10000,32,0,1200,5600,18,0,600,,,1500,,,1,0,,,,4000,1000,5000,16,0,,0.15,0.7142857143,,0.8928571429
9,74,3,"Seeschlacht","Orbetello (Telamone)",1646,6,14,1646,6,14,1,"France",,"Spain",,15000,24,34,1500,18000,25,43,2000,,,,,,0,0,0,,,,,,0,0,0,,,,
10,78,2,"Seeschlacht","Naxos",1651,7,10,1651,7,10,1,"Venice",,"Turkey",,,60,,,,160,,,,,,,,,,,,,,,,,,,,,,
