,Dataset: COMPTON-1993 (COMP28ID),,,,,,,,,
,Data From (Title): Personnel Attrition Data,,,,,,,,,
,"Author: Compton, Jonathon W.",,,,,,,,,
,Organization: US Army TRADOC Systems Analysis Activity,,,,,,,,,
,"Address: White Sands Missile Range, New Mexico 88002",,,,,,,,,
,Publication Date: November 1983.,,,,,,,,,
,Classification: UNCLASSIFIED.,,,,,,,,,
,Source Available From: DTIC as AD-B085 206.,,,,,,,,,
,"Prepared By: Dr. Robert L. Helmbold, US Army Concepts Analysis Agency",,,,,,,,,
,Spreadsheet last revised: 17 November 1993.,,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-
Seq.,Division,,Sub-Unit,Sub-Unit,Sub-Unit,,,,,
No.,Name,Date,Level 1,Level 2,Level 3,KIA,WIA,MIA,NB,Total
-,-,-,-,-,-,-,-,-,-,-
1,28th Infantry,11/02/1944,DIV HQ,HHC,--,--,--,--,--,0
2,28th Infantry,11/02/1944,DIV HQ,CIC DET,--,--,--,--,--,0
3,28th Infantry,11/02/1944,DIV HQ,103D ENGR CBT BN (-),HHC & SVC CO,--,--,--,--,0
4,28th Infantry,11/02/1944,DIV HQ,103D ENGR CBT BN (-),MED DET,--,--,--,--,0
5,28th Infantry,11/02/1944,DIV HQ,28TH RCN TRP (MECZ),--,--,--,--,1,1
6,28th Infantry,11/02/1944,DIV HQ,"D CO, 707 TANK BN",--,--,1,--,--,1
7,28th Infantry,11/02/1944,109TH RCT,"HQ, 109TH RCT",HHC,--,1,--,--,1
8,28th Infantry,11/02/1944,109TH RCT,"HQ, 109TH RCT",SVC CO,--,--,--,--,0
9,28th Infantry,11/02/1944,109TH RCT,"HQ, 109TH RCT",CANNON CO,--,--,--,--,0
10,28th Infantry,11/02/1944,109TH RCT,"HQ, 109TH RCT",ANTITANK CO,--,1,--,--,1
11,28th Infantry,11/02/1944,109TH RCT,"HQ, 109TH RCT",MED DET,--,3,1,3,7
12,28th Infantry,11/02/1944,109TH RCT,1ST BN,HHC,--,2,--,1,3
13,28th Infantry,11/02/1944,109TH RCT,1ST BN,A CO,1,18,--,6,25
14,28th Infantry,11/02/1944,109TH RCT,1ST BN,B CO,--,29,--,1,30
15,28th Infantry,11/02/1944,109TH RCT,1ST BN,C CO,--,12,--,--,12
16,28th Infantry,11/02/1944,109TH RCT,1ST BN,D CO,--,7,1,1,9
17,28th Infantry,11/02/1944,109TH RCT,2ND BN,HHC,--,--,--,--,0
18,28th Infantry,11/02/1944,109TH RCT,2ND BN,E CO,--,1,--,1,2
19,28th Infantry,11/02/1944,109TH RCT,2ND BN,F CO,--,--,--,--,0
20,28th Infantry,11/02/1944,109TH RCT,2ND BN,G CO,--,1,--,--,1
21,28th Infantry,11/02/1944,109TH RCT,2ND BN,H CO,--,1,--,--,1
22,28th Infantry,11/02/1944,109TH RCT,3D BN,HHC,1,--,--,--,1
23,28th Infantry,11/02/1944,109TH RCT,3D BN,I CO,--,12,--,5,17
24,28th Infantry,11/02/1944,109TH RCT,3D BN,K CO,1,17,--,4,22
25,28th Infantry,11/02/1944,109TH RCT,3D BN,L CO,2,9,1,3,15
26,28th Infantry,11/02/1944,109TH RCT,3D BN,M CO,--,6,--,1,7
27,28th Infantry,11/02/1944,109TH RCT,107TH FA BN,HHB,--,4,--,--,4
28,28th Infantry,11/02/1944,109TH RCT,107TH FA BN,SVC BTRY,--,--,--,--,0
29,28th Infantry,11/02/1944,109TH RCT,107TH FA BN,A BTRY,--,2,1,--,3
30,28th Infantry,11/02/1944,109TH RCT,107TH FA BN,B BTRY,--,--,--,--,0
31,28th Infantry,11/02/1944,109TH RCT,107TH FA BN,C BTRY,--,1,--,1,2
32,28th Infantry,11/02/1944,109TH RCT,107TH FA BN,MED DET,--,--,--,--,0
33,28th Infantry,11/02/1944,109TH RCT,"A CO, 103 ENGR CBT BN",--,--,4,--,--,4
34,28th Infantry,11/02/1944,109TH RCT,"A CO, 103 MED BN",--,--,--,2,--,2
35,28th Infantry,11/02/1944,109TH RCT,146 ENGR CBT BN (-),HHC & SVC CO,--,--,--,--,0
36,28th Infantry,11/02/1944,109TH RCT,146 ENGR CBT BN (-),C CO,--,--,--,--,0
37,28th Infantry,11/02/1944,109TH RCT,146 ENGR CBT BN (-),MED DET,--,--,--,--,0
38,28th Infantry,11/02/1944,110TH RCT,"HQ, 110TH RCT",HHC,--,--,--,--,0
39,28th Infantry,11/02/1944,110TH RCT,"HQ, 110TH RCT",SVC CO,--,--,--,--,0
40,28th Infantry,11/02/1944,110TH RCT,"HQ, 110TH RCT",CANNON CO,--,--,--,--,0
41,28th Infantry,11/02/1944,110TH RCT,"HQ, 110TH RCT",ANTITANK CO,--,--,--,--,0
42,28th Infantry,11/02/1944,110TH RCT,"HQ, 110TH RCT",MED DET,--,1,--,2,3
43,28th Infantry,11/02/1944,110TH RCT,1ST BN,HHC,--,--,--,--,0
44,28th Infantry,11/02/1944,110TH RCT,1ST BN,A CO,--,--,--,2,2
45,28th Infantry,11/02/1944,110TH RCT,1ST BN,B CO,--,--,--,1,1
46,28th Infantry,11/02/1944,110TH RCT,1ST BN,C CO,--,--,--,1,1
47,28th Infantry,11/02/1944,110TH RCT,1ST BN,D CO,--,--,--,--,0
48,28th Infantry,11/02/1944,110TH RCT,2D BN,HHC,--,--,--,1,1
49,28th Infantry,11/02/1944,110TH RCT,2D BN,E CO,--,--,--,--,0
50,28th Infantry,11/02/1944,110TH RCT,2D BN,F CO,--,12,5,2,19
51,28th Infantry,11/02/1944,110TH RCT,2D BN,G CO,--,9,--,1,10
52,28th Infantry,11/02/1944,110TH RCT,2D BN,H CO,--,1,--,--,1
53,28th Infantry,11/02/1944,110TH RCT,3D BN,HHC,2,--,--,--,2
54,28th Infantry,11/02/1944,110TH RCT,3D BN,I CO,--,3,2,--,5
55,28th Infantry,11/02/1944,110TH RCT,3D BN,K CO,--,17,1,7,25
56,28th Infantry,11/02/1944,110TH RCT,3D BN,L CO,--,12,9,5,26
57,28th Infantry,11/02/1944,110TH RCT,3D BN,M CO,--,5,--,2,7
58,28th Infantry,11/02/1944,110TH RCT,109TH FA BN,HHB,--,1,--,--,1
59,28th Infantry,11/02/1944,110TH RCT,109TH FA BN,SVC BTRY,--,--,--,1,1
60,28th Infantry,11/02/1944,110TH RCT,109TH FA BN,A BTRY,--,--,--,--,0
61,28th Infantry,11/02/1944,110TH RCT,109TH FA BN,B BTRY,--,--,--,--,0
62,28th Infantry,11/02/1944,110TH RCT,109TH FA BN,C BTRY,--,--,--,1,1
63,28th Infantry,11/02/1944,110TH RCT,109TH FA BN,MED DET,--,--,--,--,0
64,28th Infantry,11/02/1944,110TH RCT,"B CO, 103 ENGR CBT BN",--,--,--,--,1,1
65,28th Infantry,11/02/1944,110TH RCT,"B CO, 103 MED BN",--,--,--,--,--,0
66,28th Infantry,11/02/1944,110TH RCT,1340 ENGR CBT BN,HHC & SVC CO,--,--,--,--,0
67,28th Infantry,11/02/1944,110TH RCT,1340 ENGR CBT BN,A CO,--,1,--,1,2
68,28th Infantry,11/02/1944,110TH RCT,1340 ENGR CBT BN,B CO,--,--,--,--,0
69,28th Infantry,11/02/1944,110TH RCT,1340 ENGR CBT BN,C CO,--,--,--,--,0
70,28th Infantry,11/02/1944,110TH RCT,1340 ENGR CBT BN,MED DET,--,--,--,--,0
71,28th Infantry,11/02/1944,110TH RCT,"A CO, 146 ENGR CBT BN",--,--,--,--,--,0
72,28th Infantry,11/02/1944,110TH RCT,"B CO, 707 TANK BN",--,--,--,--,--,0
73,28th Infantry,11/02/1944,112TH RCT,"HQ, 112 RCT",HHC,--,1,--,--,1
73,28th Infantry,11/02/1944,112TH RCT,"HQ, 112 RCT",SVC CO,--,--,--,--,0
74,28th Infantry,11/02/1944,112TH RCT,"HQ, 112 RCT",CANNON CO,--,2,1,--,3
75,28th Infantry,11/02/1944,112TH RCT,"HQ, 112 RCT",ANTITANK CO,--,1,1,--,2
76,28th Infantry,11/02/1944,112TH RCT,"HQ, 112 RCT",MED DET,--,2,--,2,4
78,28th Infantry,11/02/1944,112TH RCT,1ST BN,HHC,--,--,--,--,0
79,28th Infantry,11/02/1944,112TH RCT,1ST BN,A CO,--,1,--,3,4
80,28th Infantry,11/02/1944,112TH RCT,1ST BN,B CO,--,12,4,6,22
81,28th Infantry,11/02/1944,112TH RCT,1ST BN,C CO,--,1,--,6,7
82,28th Infantry,11/02/1944,112TH RCT,1ST BN,D CO,--,--,--,2,2
83,28th Infantry,11/02/1944,112TH RCT,2D BN,HHC,--,2,2,--,4
84,28th Infantry,11/02/1944,112TH RCT,2D BN,E CO,--,10,3,9,22
85,28th Infantry,11/02/1944,112TH RCT,2D BN,F CO,1,16,4,6,27
86,28th Infantry,11/02/1944,112TH RCT,2D BN,G CO,1,15,6,2,24
87,28th Infantry,11/02/1944,112TH RCT,2D BN,H CO,--,10,2,--,12
88,28th Infantry,11/02/1944,112TH RCT,3D BN,HHC,--,--,--,--,0
89,28th Infantry,11/02/1944,112TH RCT,3D BN,I CO,1,2,--,--,3
90,28th Infantry,11/02/1944,112TH RCT,3D BN,K CO,--,--,--,1,1
91,28th Infantry,11/02/1944,112TH RCT,3D BN,L CO,--,1,--,--,1
92,28th Infantry,11/02/1944,112TH RCT,3D BN,M CO,--,--,--,--,0
93,28th Infantry,11/02/1944,112TH RCT,229 FA BN,HHB,--,--,--,--,0
94,28th Infantry,11/02/1944,112TH RCT,229 FA BN,SVC BTRY,--,--,--,--,0
95,28th Infantry,11/02/1944,112TH RCT,229 FA BN,A BTRY,--,--,--,--,0
96,28th Infantry,11/02/1944,112TH RCT,229 FA BN,B BTRY,--,--,--,--,0
97,28th Infantry,11/02/1944,112TH RCT,229 FA BN,C BTRY,--,--,--,--,0
98,28th Infantry,11/02/1944,112TH RCT,229 FA BN,MED DET,--,--,--,--,0
99,28th Infantry,11/02/1944,112TH RCT,"C CO, 103 ENGR CBT BN",--,1,--,--,1,2
100,28th Infantry,11/02/1944,112TH RCT,"C CO, 103 MED DET",--,--,--,--,--,0
101,28th Infantry,11/02/1944,112TH RCT,"B CO, 86 CML BN",--,--,2,--,--,2
102,28th Infantry,11/02/1944,112TH RCT,"D CO, 86 CML BN",--,--,--,--,--,0
103,28th Infantry,11/02/1944,112TH RCT,C CO 707 TANK BN,--,--,--,--,--,0
104,28th Infantry,11/02/1944,112TH RCT,20 ENGR CBT BN,HHC & SVC CO,--,--,--,--,0
105,28th Infantry,11/02/1944,112TH RCT,20 ENGR CBT BN,A CO,--,--,--,--,0
106,28th Infantry,11/02/1944,112TH RCT,20 ENGR CBT BN,B CO,--,--,--,--,0
107,28th Infantry,11/02/1944,112TH RCT,20 ENGR CBT BN,C CO,--,--,--,--,0
108,28th Infantry,11/02/1944,112TH RCT,20 ENGR CBT BN,MED DET,--,--,--,--,0
109,28th Infantry,11/02/1944,DIVARTY,HHC,--,--,--,--,--,0
110,28th Infantry,11/02/1944,DIVARTY,MED DET,--,--,--,--,--,0
