,Dataset: INCHON-1993,,,,,,,,,,,,,,,,,
,Data From (Title): An Attempt to Verify Lanchester's Equations.,,,,,,,,,,,,,,,,,
,"Author: Busse, James J.",,,,,,,,,,,,,,,,,
,"Organization: Paper 9-1 in Volume 2 of ""Developments in ",,,,,,,,,,,,,,,,,
,"Operations Research,"" Benjamin Avi-Itzhak (executive editor),",,,,,,,,,,,,,,,,,
,Gordon and Breach Science Publishers.,,,,,,,,,,,,,,,,,
,"Address: New York, NY.",,,,,,,,,,,,,,,,,
,Publication Date: 1971.,,,,,,,,,,,,,,,,,
,Classification: UNCLASSIFIED.,,,,,,,,,,,,,,,,,
,Source Available From: Libraries.,,,,,,,,,,,,,,,,,
,"Prepared By: Dr. Robert L. Helmbold, US Army Concepts Analysis Agency",,,,,,,,,,,,,,,,,
,Spreadsheet last revised: 30 October 1993,,,,,,,,,,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
,,Marine strength,North Korean,North Korean strength,UN forces landed,UN forces ashore,UN forces ashore,USMC,USMC,USMC,USMC,USMC,Enemy,Enemy estimated,Enemy estimated,Enemy estimated,Enemy estimated,
Day,Date,at 2400 on day,reinforcements,at 2400 on day,according to Love,according to Love,exclusive of first day,KIA on day,DOW on day,MIA on day,WIA on day,total BC,POWs taken,casualties,total BC,strength at 2400,reinf. on day,
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
0,09/14/1950,25040,0,22150,0,0,0,0,0,0,0,0,0,0,0,2200,0,
1,09/15/1950,24844,0,21350,15279,15279,0,20,1,1,174,196,?,?,0,1800,0,
2,09/16/1950,24818,0,20500,14900,30179,14900,2,1,1,22,26,300,1350,1650,150,0,
3,09/17/1950,24742,3000,22750,3800,33979,18700,6,0,0,70,76,400,350,750,2400,3000,
4,09/18/1950,24640,500,22600,6900,40879,25600,7,3,0,92,102,197,450,647,2253,500,(?)
5,09/19/1950,24568,230,22100,5600,46479,31200,10,1,0,61,72,126,600,726,1527,0,
6,09/20/1950,24421,6500,27675,11100,57579,42300,24,1,3,119,147,326,600,926,2601,2000,
7,09/21/1950,24190,0,25975,7300,64879,49600,30,3,0,198,231,355,1350,1705,896,0,
8,09/22/1950,24025,0,24375,4200,69079,53800,27,3,0,135,165,395,1200,1595,18131,18830,
9,09/23/1950,23882,2000,25305,1000,70079,54800,19,7,0,117,143,169,900,1069,17062,0,
10,09/24/1950,23593,0,24290,3300,73379,58100,68,4,0,217,289,67,950,1017,16045,0,
11,09/25/1950,23317,0,22390,12800,86179,70900,33,4,1,238,276,142,1750,1892,14153,0,
12,09/26/1950,23114,3500,24640,4400,90579,75300,29,7,0,167,203,407,950,1357,18996,6200,
13,09/27/1950,22925,0,23250,200,90779,75500,33,3,0,153,189,139,1252,1391,17605,0,
14,09/28/1950,22882,0,22710,0,90779,75500,8,4,0,31,43,206,332,538,17067,0,
15,09/29/1950,22813,0,22100,300,91079,75800,19,1,0,49,69,507,102,609,16458,0,
16,09/30/1950,22752,2000,23456,0,91079,75800,11,2,0,48,61,328,305,633,15825,0,
17,10/01/1950,22733,5000,28265,0,91079,75800,2,1,0,16,19,124,75,199,15626,0,
18,10/02/1950,22636,0,27835,100,91179,75900,15,1,0,81,97,82,350,432,22194,7000,
19,10/03/1950,22598,0,26930,3100,94279,79000,2,1,0,35,38,103,800,903,21291,0,
20,10/04/1950,,,,0,94279,79000,0,0,0,3,3,118,0,118,21173,0,
21,10/05/1950,,,,100,94379,79100,1,1,0,3,5,57,0,57,21116,0,
22,10/06/1950,,,,0,94379,79100,0,0,0,0,0,144,0,144,20972,0,
23,10/07/1950,,,,,94379,79100,0,0,0,0,0,0,0,0,20972,0,
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
,Total,--,22730,480646,94379,1696217,1344800,366,49,6,2029,2450,4692,13666,18358,308513,37530,
