,Dataset: KELLEY-1977,,,,,,,
,Data From (Title): Quality-Quantity Tradeoffs: A Historical,,,,,,,
,,Analysis of Air Combat. ,,,,,,
,"Author: Kelley, C.T., et al.",,,,,,,
,Organization: The RAND Corporation.,,,,,,,
,"Address: Santa Monica, CA.",,,,,,,
,Publication Date: April 1977.,,,,,,,
,Classification: UNCLASSIFIED.,,,,,,,
,Source Available From: DTIC as AD-C010 504.,,,,,,,
,"Prepared By: Dr. Robert L. Helmbold, US Army Concepts Analysis Agency",,,,,,,
,Spreadsheet last revised: 30 October 1993,,,,,,,
-,-,-,-,-,-,-,-,-
,,,,,,,,
,"Korean Combat Data, Based on Fifth Air Force Intelligence Summaries.",,,,,,,
,,,,,,,,
-,-,-,-,-,-,,,
,,No. of Aircraft,,Aircraft Losses,,,,
No.,Date,US,NK,US,NK,,,
-,-,-,-,-,-,,,
1,08/19/1951,29,64,0.5,3.25,,,
2,08/24/1951,23,61,0,2,,,
3,09/02/1951,21,44,1,4,,,
4,09/09/1951,28,70,1,2.5,,,
5,09/19/1951,37,40,0,2,,,
6,09/20/1951,34,60,0,1,,,
7,09/22/1951,34,85,0,1.25,,,
8,09/25/1951,36,100,0.5,7.5,,,
9,09/26/1951,37,60,1,0.5,,,
10,09/27/1951,34,50,0.5,1,,,
11,10/01/1951,27,40,0,1.5,,,
12,10/02/1951,35,48,0,2,,,
13,10/02/1951,32,80,0,5,,,
14,10/05/1951,34,50,0,0.5,,,
15,10/06/1951,33,100,3.5,3,,,
16,10/12/1951,32,80,0,4,,,
17,10/16/1951,34,50,0,1,,,
18,10/16/1951,33,100,0,11,,,
19,10/21/1951,34,50,0,1,,,
20,10/22/1951,32,10,0,0,,,
21,10/23/1951,31,114,0,2.5,,,
22,10/24/1951,35,70,2.5,1,,,
23,10/25/1951,31,50,0,0.5,,,
24,10/26/1951,28,70,0,2,,,
25,10/27/1951,32,105,0.5,0.5,,,
26,10/28/1951,33,40,0,1.5,,,
27,10/28/1951,17,60,0.5,0,,,
28,10/30/1951,32,60,0,0,,,
29,11/02/1951,24,44,0,1,,,
30,11/04/1951,34,60,0,3,,,
31,11/04/1951,34,50,0,1.5,,,
32,11/07/1951,16,70,0,0,,,
33,11/07/1951,17,34,0,0,,,
34,11/08/1951,17,12,1,0.5,,,
35,11/08/1951,13,70,1,1.5,,,
