"seq_no","battle_name","ref_no","year","attacker_id","defender_id","initial_attacker_str","initial_defender_str","attacker_losses","attacker_loss_type","defender_losses","defender_loss_type","battle_duration","wina"
1,"Mollwitz",17,1741,"German","Austria",22500,19000,3930,"W",2980,"W",0.2083333333,1
2,"Prague",17,1757,"German","Austria",64000,61000,11740,"W",9050,"W",0.4166666667,1
3,"Kolin",17,1757,"Austria","German",53500,36000,6470,"W",6710,"W",0.2291666667,1
4,"Rossbach",17,1757,"German","France",22000,43000,540,"W",2700,"W",0.0833333333,1
5,"Breslau",17,1757,"Austria","German",80000,30000,5270,"W",9000,"W",0.2083333333,1
6,"Leuthen",17,1757,"German","Austria",43000,72000,6200,"W",6510,"W",0.25,1
7,"Zorndorf",17,1758,"German","Austria",36000,42000,12000,"W",18000,"W",0.5,1
8,"Hochkirk",17,1758,"Austria","German",65000,37000,5300,"W",7110,"W",0.1666666667,1
9,"Kunersdorf",17,1759,"German","Russia",43000,71000,18670,"W",15700,"W",0.25,0
10,"Quebec",15,1759,"France","Britain",5000,3200,650,"L",644,"L","NA",0
11,"Liegnitz",17,1760,"Austria","German",30000,30000,3790,"W",3270,"W",0.125,0
12,"Torgau",17,1760,"German","Austria",44000,65000,9020,"W",4040,"W",0.3333333333,1
13,"Bunker Hill",15,1775,"Britain","USA",2500,1500,1054,"L",420,"NA","NA",1
14,"Cowpens",15,1780,"Britain","USA",1100,900,230,"W",73,"W","NA",0
15,"Marengo",17,1800,"Austria","France",28000,28500,6500,"W",4700,"W",0.5,0
16,"Hohenlinden",17,1800,"Austria","France",57000,49000,5460,"W",2500,"W",0.25,0
17,"Caldiero",17,1805,"France","Austria",45750,49200,6300,"W",5672,"W",0.2916666667,0
18,"Austerlitz",11,1805,"Austria","France",82500,65000,12200,"W",6800,"L",0.5,0
19,"Eylau",17,1807,"Russia","France",65000,70000,18000,"W",15000,"W",0.5416666667,0
20,"Friedland",17,1807,"France","Russia",86000,46000,11670,"W",10000,"W",0.5,1
21,"Talavera",17,1809,"France","Spain",56000,54000,8210,"W",6860,"W",0.4166666667,0
22,"Aspern",17,1809,"France","Austria",90000,75000,42080,"W",22520,"W",0.875,0
23,"Wagram",17,1809,"France","Austria",181700,128600,23000,"W",19110,"W",0.5833333333,1
24,"Borodino",17,1812,"France","Russia",110000,121000,23500,"W",37500,"W",0.625,1
25,"Salamanca",17,1812,"France","Britain",47000,44000,10000,"W",5160,"W","NA",0
26,"Vittoria",17,1813,"France","Britain",60000,80000,6000,"W",5000,"W","NA",0
27,"Lutzen",17,1813,"France","German",116000,69000,13000,"W",10000,"W",0.3333333333,1
28,"Bautzen",17,1813,"France","German",163000,96500,20000,"W",13500,"W",0.625,1
29,"Dresden",17,1813,"France","Austria",96000,200000,10000,"W",15000,"W",0.625,1
30,"Kulm",17,1813,"Russia","France",103200,37000,3310,"W",5000,"W",0.625,1
